CATALOG_NAME,SCHEMA_NAME
PRD_DHR_A2879,PRD_UV_DHR_A2879_KOK_A5483
PRD_DHR_A2879,PRD_UV_DHR_A2879_M2R_5028
PRD_DHR_A2879,PRD_UV_DHR_A2879_MIFID_AB
PRD_DHR_A2879,PRD_UV_DHR_A2879_MOP_177078
PRD_DHR_A2879,PRD_UV_DHR_A2879_ORH_A8348
PRD_DHR_A2879,PRD_UV_DHR_A2879_PDP_A2515
PRD_DHR_A2879,PRD_UV_DHR_A2879_PEO_A2434
PRD_DHR_A2879,PRD_UV_DHR_A2879_PSG_A2585
PRD_DHR_A2879,PRD_UV_DHR_A2879_RMO_A2736
PRD_DHR_A2879,PRD_UV_DHR_A2879_RMU_A2732
PRD_DHR_A2879,PRD_UV_DHR_A2879_RTO_A0942
PRD_DHR_A2879,PRD_UV_DHR_A2879_SGSS_496052
PRD_DHR_A2879,PRD_UV_DHR_A2879_SKR_A2616
PRD_DHR_A2879,PRD_UV_DHR_A2879_SLC_170307
PRD_DHR_A2879,PRD_UV_DHR_A2879_SVM_A9054
PRD_DHR_A2879,PRD_UV_DHR_A2879_TIE_A1474
PRD_DHR_A2879,PRD_UV_DHR_A2879_TSI_A2676
PRD_DHR_A2879,PRD_UV_DHR_A2879_TUS_A8647
PRD_DHR_A2879,PRD_UV_DHR_A2879_UMA_A2876
PRD_DHR_A2879,PRD_UV_DHR_A2879_WFM_A5215
PRD_DLB_A5087,PDLBPDLBB_TECH
PRD_DLB_A5087,PDLBPDLBB_YOGA
PRD_DLB_A5087,PDLBPDLBV_TECH
PRD_DLB_A5087,PRD_LAB_B_EDC_OLAF
PRD_DLB_A5087,PRD_LAB_DAT_BS
